Condition,Group,is_weird,condition_bin,group_bin,sentiment_mean,interaction_feeling_sentiment,definition_feeling_sentiment,explanation_comment_sentiment,response_count_non_empty,combined_text_length,analytical_change,emotional_change,overall_change,analytical_minus_emotional_change,interaction_feeling_text,definition_feeling_text,explanation_comment_text,combined_text
Interactive,NORMAL,False,1.0,0.0,0.5873015873015872,0.8888888888888888,,0.2857142857142857,2.0,119.0,1,-8,-7,9,"Good, I am impressed by it in all honesty",,"Got to know BERT more better, how it came to be, statistics and everything","Good, I am impressed by it in all honesty || Got to know BERT more better, how it came to be, statistics and everything"
Interactive,WEIRD,True,1.0,1.0,0.0,0.0,,0.0,2.0,126.0,-10,-2,-12,-8,Was very unusual and some odd results but interesting to see some of the things it thought were ok and were not!,,B9T0JFJMTG,Was very unusual and some odd results but interesting to see some of the things it thought were ok and were not! || B9T0JFJMTG
Interactive,WEIRD,True,1.0,1.0,0.04901960784313725,0.3333333333333333,,-0.23529411764705882,2.0,151.0,-8,-8,-16,0,i feel comfortable but nervous how my inputs could change the output,,i changed words to see how AI responds and how it can be biased based on inputs,i feel comfortable but nervous how my inputs could change the output || i changed words to see how AI responds and how it can be biased based on inputs
Interactive,WEIRD,True,1.0,1.0,0.0,0.0,,0.0,2.0,55.0,-6,0,-6,-6,I felt intrigued but the AI felt robotic.,,HRMZQVCVFP,I felt intrigued but the AI felt robotic. || HRMZQVCVFP
Interactive,NORMAL,False,1.0,0.0,0.0,0.0,,0.0,2.0,52.0,-24,-8,-32,-16,Amused,,Looked at the BERT system and how it works,Amused || Looked at the BERT system and how it works
Interactive,NORMAL,False,1.0,0.0,0.0,0.0,,0.0,2.0,60.0,-6,-8,-14,2,Too complicated,,Updated sentences and check how AI works.,Too complicated || Updated sentences and check how AI works.
Interactive,NORMAL,False,1.0,0.0,0.10526315789473684,0.0,,0.21052631578947367,2.0,176.0,-6,2,-4,-8,It wasn't the most convenient experience due to a complicated layout.,,I explored how it works and played around but I found the layout and UI very complicated to understand.,It wasn't the most convenient experience due to a complicated layout. || I explored how it works and played around but I found the layout and UI very complicated to understand.
Interactive,NORMAL,False,1.0,0.0,0.1,0.0,,0.2,2.0,167.0,3,2,5,1,It was interesting finding how it works and guaging all its predictions,,"I tested the Bert ai and tried to find out how accurate it is,what it knows about my country","It was interesting finding how it works and guaging all its predictions || I tested the Bert ai and tried to find out how accurate it is,what it knows about my country"
Interactive,NORMAL,False,1.0,0.0,0.0,0.0,,0.0,2.0,102.0,-4,0,-4,-4,Neutral,,"Read different papers about the evolution and training of BERT, and AI model CC: 0YKGLN1TMT","Neutral || Read different papers about the evolution and training of BERT, and AI model CC: 0YKGLN1TMT"
Interactive,NORMAL,False,1.0,0.0,0.19047619047619047,0.0,,0.38095238095238093,2.0,157.0,5,-2,3,7,just curious of its ability,,I read the numerous articles and data provided and tried the interactive model to better understand its capacity and its limit,just curious of its ability || I read the numerous articles and data provided and tried the interactive model to better understand its capacity and its limit
Interactive,WEIRD,True,1.0,1.0,0.0,0.0,,0.0,2.0,241.0,-3,4,1,-7,It was fun to see/read about how AI models work.,,Read 5 slides explaining how AI models work/obtained it's data; as well as how the data can be fixed/modified. It provided interactive examples that I used to see how exactly the AI worked.,It was fun to see/read about how AI models work. || Read 5 slides explaining how AI models work/obtained it's data; as well as how the data can be fixed/modified. It provided interactive examples that I used to see how exactly the AI worked.
Interactive,NORMAL,False,1.0,0.0,0.0,0.0,,0.0,2.0,43.0,-7,-10,-17,3,It was okay interacting with it,,Not sure,It was okay interacting with it || Not sure
Interactive,NORMAL,False,1.0,0.0,0.2857142857142857,0.0,,0.5714285714285714,2.0,58.0,0,8,8,-8,neutral,,understand patterns and recognition from the AI,neutral || understand patterns and recognition from the AI
Interactive,WEIRD,True,1.0,1.0,0.0,0.0,,0.0,2.0,90.0,0,4,4,-4,no real feeling felt clinical,,Looked at BERT LLM model changed words and looked at data,no real feeling felt clinical || Looked at BERT LLM model changed words and looked at data
Interactive,NORMAL,False,1.0,0.0,0.5,1.0,,0.0,2.0,75.0,0,0,0,0,kind of impressed,,I see how bert works predicting sentenses (67U50AOKHY),kind of impressed || I see how bert works predicting sentenses (67U50AOKHY)
Interactive,NORMAL,False,1.0,0.0,0.0,0.0,,0.0,2.0,112.0,3,2,5,1,It was very interesting and refreshing since its not the general slop AI that the mainstream uses.,,51S8ZRR7UG,It was very interesting and refreshing since its not the general slop AI that the mainstream uses. || 51S8ZRR7UG
Interactive,NORMAL,False,1.0,0.0,0.0,0.0,,0.0,2.0,515.0,-2,2,0,-4,Cool,,"BERT can predict missing words (or at least use the most probable prediction) based on learning from what he studied (and apparently his training goes through giving it an incomplete sentence). By changing the sentence to something like ""One man's trash is another man's treasure"" I see that this version of BERT is incapable of predicting the missing word accurately since it wasn't trained on this specific sentence. Although, Bert can be stereotypical in its raw form and thus adjustments have been made.","Cool || BERT can predict missing words (or at least use the most probable prediction) based on learning from what he studied (and apparently his training goes through giving it an incomplete sentence). By changing the sentence to something like ""One man's trash is another man's treasure"" I see that this version of BERT is incapable of predicting the missing word accurately since it wasn't trained on this specific sentence. Although, Bert can be stereotypical in its raw form and thus adjustments have been made."
Interactive,NORMAL,False,1.0,0.0,0.0,0.0,,0.0,2.0,64.0,-7,-4,-11,-3,like i was talking to a smart person,,it was quite interesting,like i was talking to a smart person || it was quite interesting
Interactive,NORMAL,False,1.0,0.0,0.25,0.5,,0.0,2.0,176.0,1,-2,-1,3,That Ai can be more better with training.,,"i read some paragrphs about Ai models, how they work, defects and how to overcome. and this was in interactive way not just reading","That Ai can be more better with training. || i read some paragrphs about Ai models, how they work, defects and how to overcome. and this was in interactive way not just reading"
Interactive,NORMAL,False,1.0,0.0,0.0,,0.0,0.0,2.0,135.0,-5,-4,-9,-1,,I felt that i need to know more about Ai,i read some paragraphs about Ai and models defects and improvement and wrote what I learned,I felt that i need to know more about Ai || i read some paragraphs about Ai and models defects and improvement and wrote what I learned
